name,discipline,games
Judo at the 1996 Summer Olympics - Men's Middleweight (86kg),Men's Judo; Middleweight 78-86,1996 Summer Olympics
Speed Skating at the 1972 Winter Olympics - Men's 1500m,Men's 1500m,1972 Winter Olympics
Biathlon at the 2010 Winter Olympics – Men's sprint,Men's 10 km Sprint,2010 Winter Olympics
Athletics at the 1956 Summer Olympics - Men's 400 metres,Men's Athletics; 400m,1956 Summer Olympics
Wrestling at the 1956 Summer Olympics - Men's Freestyle Bantamweight,Men's Freestyle Wrestling; Bantamweight 52-57 kg,1956 Summer Olympics
Athletics at the 1972 Summer Olympics - Shot Put Men,Men's Shot put,1972 Summer Olympics
Gymnastics at the 1980 Summer Olympics – Men's pommel horse,Men's Pommel horse,1980 Summer Olympics
Gymnastics at the 1984 Summer Olympics – Women's vault,Women's Vault,1984 Summer Olympics
Table Tennis at the 1996 Summer Olympics - Men's Singles,Men's Table Tennis; Singles,1996 Summer Olympics
Swimming at the 2012 Summer Olympics – Women's 200 metre breaststroke,Women's 200m breaststroke,2012 Summer Olympics
Judo at the 2012 Summer Olympics – Women's 78 kg,Women's Judo; 70 - 78kg (half-heavyweight),2012 Summer Olympics
Alpine Skiing at the 1972 Winter Olympics - Men's Downhill,Men's Downhill,1972 Winter Olympics
Biathlon at the 1994 Winter Olympics - Men's 20km Individual,Men's 20 km Individual,1994 Winter Olympics
Rowing at the 1980 Summer Olympics - Women's Single Sculls,Women's Single Sculls,1980 Summer Olympics
Fencing at the 1924 Summer Olympics – Men's foil,Men's Foil individual,1924 Summer Olympics
Fencing at the 1976 Summer Olympics - Men's Épée; Individual,Men's Épée individual,1976 Summer Olympics
Wrestling at the 1960 Summer Olympics - Men's Freestyle Middleweight,Men's Freestyle Wrestling; Middleweight 73-79 kg,1960 Summer Olympics
Speed Skating at the 1992 Winter Olympics - Women's 3000m,Women's 3000 m,1992 Winter Olympics
Athletics at the 1952 Summer Olympics - Men's Marathon,Men's Marathon,1952 Summer Olympics
Basketball at the 2000 Summer Olympics - Women,Women's basketball,2000 Summer Olympics
Athletics at the 2000 Summer Olympics - Women's triple jump,,
Ski jumping at the 2010 Winter Olympics – Normal hill individual,Men's Individual Normal Hill,2010 Winter Olympics
Athletics at the 1936 Summer Olympics – Men's 110 metre hurdles,Men's Athletics; 110m hurdles,1936 Summer Olympics
Rowing at the 1900 Summer Olympics - Coxed pairs,,1900 Summer Olympics
Alpine skiing at the 2006 Winter Olympics - Men's Combined,Men's Combined,2006 Winter Olympics
Ice hockey at the 2002 Winter Olympics,Men's Ice Hockey,
Swimming at the 1976 Summer Olympics - Men's 200 metre backstroke,Men's 200m backstroke,1976 Summer Olympics
Cycling at the 1908 Summer Olympics - Men's team pursuit,Men's Track cycling; Team Pursuit (4000m),1908 Summer Olympics
