athlete,country,olympics,sport
Hiroyuki Nakano,Japan,2012 Summer Olympics,Track and field athletics
Gerald Phiri,Zambia,2012 Summer Olympics,Track and field athletics
Denis Spicka,Czech Republic,2012 Summer Olympics,Track cycling
Lucía Castañeda,Nicaragua,2012 Summer Olympics,Weightlifting
Daniel Clark,United Kingdom,2012 Summer Olympics,Basketball
Chris Mears,United Kingdom,2012 Summer Olympics,Diving
Marcin Lewandowski,Poland,2012 Summer Olympics,Track and field athletics
Lukáš Melich,Czech Republic,2012 Summer Olympics,Track and field athletics
Celine Wilde,Germany,2012 Summer Olympics,Field hockey
Beth Tweddle,United Kingdom,2012 Summer Olympics,Artistic gymnastics
Valerio Aspromonte,Italy,2012 Summer Olympics,Fencing
Mary Spencer,Canada,2012 Summer Olympics,Boxing
Andreas Dibowski,Germany,2008 Summer Olympics,Eventing
Chris Lamont,United Kingdom,2012 Summer Olympics,Volleyball
David Greene,United Kingdom,2012 Summer Olympics,Track and field athletics
Tamas Molnar,Hungary,2004 Summer Olympics,Water polo
Ihab Abdelrahman El Sayed,Egypt,2012 Summer Olympics,Track and field athletics
Daniel Sturridge,United Kingdom,2012 Summer Olympics,Football
Levan Zhorzholiani,Georgia,2012 Summer Olympics,Judo
Lucia Bosetti,Italy,2012 Summer Olympics,Volleyball
Yuliya Efimova,Russia,2012 Summer Olympics,Swimming
Adam Okruashvili,Georgia,2012 Summer Olympics,Judo
Marcelo Machado,Brazil,2012 Summer Olympics,Basketball
Yoshiaki Oiwa,Japan,2012 Summer Olympics,Eventing
Patrick Lawino,Uganda,2012 Summer Olympics,Track cycling
Sigfús Sigurðsson,Iceland,2008 Summer Olympics,Team handball
Roar Ljøkelsøy,Norway,2006 Winter Olympics,Ski jumping
Goran Bezina,Switzerland,2006 Winter Olympics,Ice Hockey
Alexandre Bilodeau,Canada,2010 Winter Olympics,Freestyle skiing
Philippe Egorov,Russia,2006 Winter Olympics,Bobsleigh
Ekaterina Tudegesheva,Russia,2006 Winter Olympics,Snowboarding
Yingchao Kong,China,2006 Winter Olympics,Biathlon
Andrey Silnov,Russia,2008 Summer Olympics,Track and field athletics
Kenenisa Bekele,Ethiopia,2004 Summer Olympics,Track and field athletics
Mikhail Siamionau,Belarus,2008 Summer Olympics,Greco-Roman wrestling
Vesna Bajkuša,Yugoslavia,1988 Summer Olympics,Basketball
Jeannette Altwegg,United Kingdom,1952 Winter Olympics,Figure skating
Li Ting,China,2004 Summer Olympics,Tennis
Caroline Bruce,,,Swimming
Wojciech Kowalczyk,Poland,1992 Summer Olympics,Football
Claudio López,Argentina,1996 Summer Olympics,Football
Ekaterina Tudegesheva,Russia,2010 Winter Olympics,Snowboarding
Jason Myslicki,Canada,2010 Winter Olympics,Nordic combined
Carmen Radenovic,Romania,2010 Winter Olympics,Bobsleigh
Alexander Ovechkin,Russia,2010 Winter Olympics,Ice Hockey
Robin Bell,Australia,2008 Summer Olympics,Canoe Slalom
Paola Espinosa,Mexico,2008 Summer Olympics,Diving
Daniel Mesotitsch,Austria,2010 Winter Olympics,Biathlon
Nolan Kasper,United States of America,2010 Winter Olympics,Alpine skiing
Rustam Valiullin,Belarus,2010 Winter Olympics,Biathlon
Marius Holtet,Norway,2010 Winter Olympics,Ice Hockey
Robert Fagan,Canada,2010 Winter Olympics,Snowboarding
Jayne Torvill,United Kingdom,1984 Winter Olympics,Figure skating
Martin Brodeur,Canada,2010 Winter Olympics,Ice Hockey
Inge Dekker,Netherlands,2008 Summer Olympics,Swimming
Choi Min-Ho,South Korea,2008 Summer Olympics,Judo
Kerryn McCann,Australia,1996 Summer Olympics,Track and field athletics
Jan-Ove Waldner,Sweden,2004 Summer Olympics,Table tennis
Bernhard Leene,Norway,1928 Summer Olympics,Track cycling
Vince Carter,United States of America,2000 Summer Olympics,Basketball
Michaela Kirchgasser,United States of America,2006 Winter Olympics,Alpine skiing
Caroline Bruce,United States of America,,
Glenn Ashby Davis,United States of America,1960 Summer Olympics,Track and field athletics
José Chamot,Argentina,1996 Summer Olympics,Football
Mikko Koivu,Finland,2006 Winter Olympics,Ice Hockey
Rick Nash,Canada,2010 Winter Olympics,Ice Hockey
