country;event;medal;medalist;olympics
United States of America;Swimming;2008 Summer Olympics;Men's 200 metre freestyle;Bronze medal;Peter Vanderkaay;2008 Summer Olympics
Australia;Swimming;2008 Summer Olympics;Men's 4 x 100 metre freestyle relay;Bronze medal;Matt Targett;Leith Brodie;Andrew Lauterstein;Eamon Sullivan;Ashley Callus;Patrick Murphy;2008 Summer Olympics
Italy;Archery;2008 Summer Olympics;Men's team;Silver medal;Marco Galiazzo;Mauro Nespoli;Ilario di Buo;2008 Summer Olympics
Czech Republic;Canoeing;2008 Summer Olympics;Men's slalom C-2;Silver medal;Ond?ej Št?pánek;Jaroslav Volf;2008 Summer Olympics
France;Judo;2008 Summer Olympics;Men's Half Lightweight (66 kg);Silver medal;Benjamin Darbelet;2008 Summer Olympics
Australia;Cycling;2008 Summer Olympics;Women's Sprint;Silver medal;Anna Meares;2008 Summer Olympics
Australia;Diving;2004 Summer Olympics;Men's synchronized 10 metre platform;Bronze medal;Mathew Helm;Robert Newbery;2004 Summer Olympics
Romania;Athletics;2004 Summer Olympics;Women's 1.500 metres;Bronze medal;Maria Cioncan;2004 Summer Olympics
Norway;Figure skating;1920 Summer Olympics;Men's singles;Bronze medal;Martin Stixrud;1920 Summer Olympics
German Democratic Republic;Speed Skating;1988 Winter Olympics;Men's 1000m;Silver medal;Uwe-Jens Mey;1988 Winter Olympics
Belgium;Judo;1980 Summer Olympics;Half-Heavyweight (95kg) Men;Gold medal;Robert Van De Walle;1980 Summer Olympics
France;Judo;1980 Summer Olympics;Men's Half Middleweight (78kg);Bronze medal;Bernard Tchoullouyan;1980 Summer Olympics
Belgium;Shooting;1900 Summer Olympics;Men's 300 metre rifle; three positions;Bronze medal;Paul van Asbroeck;1900 Summer Olympics
Romania;Boxing;1996 Summer Olympics;Lightweight;Bronze medal;Leonard Doroftei;1996 Summer Olympics
United States of America;Sailing;1948 Summer Olympics;Firefly Class;Silver medal;Ralph Liggett Evans Jr.;1948 Summer Olympics
France;Handball;1992 Summer Olympics;Men's tournament;Bronze medal;Alain Portes;1992 Summer Olympics
Puerto Rico;Boxing;1948 Summer Olympics;Bantamweight;Bronze medal;Juan Evangelista Venegas;1948 Summer Olympics
Australia;Shooting;1996 Summer Olympics;Women's Double Trap;Bronze medal;Deserie Huddleston;1996 Summer Olympics
German Democratic Republic;Athletics;1988 Summer Olympics;Women's Long Jump;Silver medal;Heike Drechsler;1988 Summer Olympics
Italy;Fencing;1936 Summer Olympics;Men's Épée, Individual;Gold medal;Franco Riccardi;1936 Summer Olympics
Germany;Alpine skiing;1952 Winter Olympics;Women's downhill;Silver medal;Annemarie Buchner;1952 Winter Olympics
United States of America;Wrestling;1924 Summer Olympics;Men's Freestyle Featherweight;Silver medal;Chester Newton;1924 Summer Olympics
France;Fencing;1900 Summer Olympics;Men's amateurs-masters épée;Bronze medal;Léon Sée;1900 Summer Olympics
Poland;Athletics;1936 Summer Olympics;Women's 100 metres;Silver medal;Stanis?awa Walasiewicz;1936 Summer Olympics
Canada;Wrestling;1928 Summer Olympics;Men's Freestyle Middleweight;Silver medal;Donald Parker Stockton;1928 Summer Olympics
Canada;Wrestling;1928 Summer Olympics;Men's Freestyle Welterweight;Bronze medal;Maurice E. Letchford;1928 Summer Olympics
United Kingdom;Athletics;1928 Summer Olympics;Men's 100 metres;Silver medal;Jack London;1928 Summer Olympics
Norway;Cross-Country Skiing;1964 Winter Olympics;Men's 15km;Silver medal;Harald Grønningen;1964 Winter Olympics
Sweden;Modern Pentathlon;1928 Summer Olympics;Men's Individual;Gold medal;Sven Thofelt;1928 Summer Olympics
Czechoslovakia;Athletics;1968 Summer Olympics;Women's High Jump;Gold medal;Miloslava Rezková;1968 Summer Olympics
Soviet Union;Wrestling;1960 Summer Olympics;Men's Greco-Roman Featherweight;Bronze medal;Konstantin Vyrupayev;1960 Summer Olympics
Ireland;Athletics;1984 Summer Olympics;Men's Marathon;Silver medal;John Treacy;1984 Summer Olympics
Soviet Union;Fencing;1960 Summer Olympics;Women's Foil, Individual;Silver medal;Valentina Rastvorova;1960 Summer Olympics
New Zealand;Canoeing;1984 Summer Olympics;Men's K-1 500 metres;Gold medal;Ian Ferguson;1984 Summer Olympics
United States of America;Athletics;1932 Summer Olympics;Women's discus throw;Silver medal;Ruth Osborn;1932 Summer Olympics
Soviet Union;Gymnastics;1980 Summer Olympics;Women's Balance Beam;Bronze medal;Natalia Shaposhnikova;1980 Summer Olympics
Italy;Weightlifting;1956 Summer Olympics;Men's Middleweight 67.5-75 kg;Bronze medal;Ermanno Pignatti;1956 Summer Olympics
United States of America;Wrestling;1932 Summer Olympics;Men's Freestyle Light Heavyweight;Gold medal;Peter Mehringer;1932 Summer Olympics
Italy;Alpine Skiing;1976 Winter Olympics;Men's Slalom;Silver medal;Gustav Thöni;1976 Winter Olympics
United States of America;Gymnastics;1932 Summer Olympics;Men's rings;Silver medal;William Thomas Denton;1932 Summer Olympics
Unified Team;Wrestling;1992 Summer Olympics;Men's freestyle Light Heavyweight;Gold medal;Makharbek Khadartsev;1992 Summer Olympics
Unified Team;Judo;1992 Summer Olympics;Men's Half Heavyweight (95kg);Bronze medal;Dmitri Sergeev;1992 Summer Olympics
United States of America;Athletics;1948 Summer Olympics;Men's shot put;Silver medal;Francis James Delaney;1948 Summer Olympics
United Kingdom;Athletics;1964 Summer Olympics;Women's 400 metres;Silver medal;Ann Packer;1964 Summer Olympics
Sweden;Speed Skating;1956 Winter Olympics;Men's 10000m;Gold medal;Sigvard Ericsson;1956 Winter Olympics
France;Cycling;1936 Summer Olympics;Men's individual road race;Silver medal;Guy Lapébie;1936 Summer Olympics
United States of America;Shooting;1896 Summer Olympics;Men's 25 metre military pistol;Silver medal;Sumner Paine;1896 Summer Olympics
Russia;Biathlon;2006 Winter Olympics;Women's pursuit;Bronze medal;Albina Akhatova;2006 Winter Olympics
Hungary;Athletics;1948 Summer Olympics;Women's long jump;Gold medal;Olga Gyarmati;1948 Summer Olympics
Canada;Speed skating;1998 Winter Olympics;Women's 500m;Silver medal;Susan Auch;1998 Winter Olympics
China;Shooting;1988 Summer Olympics;Men's 10 metre air pistol;Bronze medal;Xu Haifeng;1988 Summer Olympics
Sweden;Athletics;1984 Summer Olympics;Men's High Jump;Silver medal;Patrik Sjöberg;1984 Summer Olympics
Nigeria;Athletics;2008 Summer Olympics;Women's Long Jump;Bronze medal;Blessing Okagbare;2008 Summer Olympics
Australia;Athletics;2008 Summer Olympics;Men's 50 km walk;Silver medal;Jared Tallent;2008 Summer Olympics
Iran;Wrestling;1996 Summer Olympics;Men's freestyle Middleweight;Bronze medal;Amir Reza Khadem Azghadi;1996 Summer Olympics
Argentina;Boxing;1996 Summer Olympics;Featherweight;Bronze medal;Pablo Chacón;1996 Summer Olympics
Sweden;Equestrian;1956 Summer Olympics;Individual Eventing;Gold medal;Petrus Kastenman;1956 Summer Olympics
Belgium;Boxing;1924 Summer Olympics;Men's welterweight;Gold medal;Jean DeLarge;1924 Summer Olympics
United States of America;Athletics;1948 Summer Olympics;Men's javelin throw;Silver medal;Steve Seymour;1948 Summer Olympics
South Africa;Boxing;1924 Summer Olympics;Bantamweight;Gold medal;William Smith;1924 Summer Olympics
Australia;Swimming;1924 Summer Olympics;Men's 1500 metre freestyle;Bronze medal;Frank Beaurepaire;1924 Summer Olympics
Russia;Boxing;2008 Summer Olympics;Flyweight;Bronze medal;Georgy Balakshin;2008 Summer Olympics
United Team of Germany;Athletics;1960 Summer Olympics;Men's 10000 metres;Silver medal;Hans Grodotzki;1960 Summer Olympics
Soviet Union;Speed Skating;1976 Winter Olympics;Women's 1500m;Bronze medal;Tatyana Averina;1976 Winter Olympics
South Korea;Wrestling;1988 Summer Olympics;Men's Greco-Roman Lightweight;Silver medal;Sung-Moon Kim;1988 Summer Olympics
Denmark;Swimming;1908 Summer Olympics;Men's 100 metre backstroke;Silver medal;Hans Daams;1908 Summer Olympics
Italy;Athletics;1908 Summer Olympics;Men's 800 metres;Silver medal;Emilio Lunghi;1908 Summer Olympics
Canada;Athletics;1988 Summer Olympics;Men's Decathlon;Bronze medal;Dave Steen;1988 Summer Olympics
Iran;Wrestling;1968 Summer Olympics;Men's Freestyle Lightweight;Gold medal;Abdollah Movahed;1968 Summer Olympics
Uganda;Boxing;1968 Summer Olympics;Flyweight;Bronze medal;Leo Rwabwogo;1968 Summer Olympics
Soviet Union;Weightlifting;1976 Summer Olympics;Men's Heavyweight  90-110 kg;Gold medal;Yuri Zaitsev;1976 Summer Olympics
Poland;Cycling;2008 Summer Olympics;Women's cross-country;Silver medal;Maja W?oszczowska;2008 Summer Olympics
Australia;Swimming;1960 Summer Olympics;Men's 100 metre backstroke;Gold medal;David Theile;1960 Summer Olympics
United States of America;Weightlifting;1956 Summer Olympics;Men's Middleweight 67.5-75 kg;Silver medal;Peter George;1956 Summer Olympics
South Korea;Wrestling;1988 Summer Olympics;Men's Greco-Roman Featherweight;Bronze medal;Dae-Hyun An;1988 Summer Olympics
United States of America;Athletics;1956 Summer Olympics;Men's hammer throw;Gold medal;Harold Vincent Connolly;1956 Summer Olympics
United States of America;Swimming;1968 Summer Olympics;Men's 100 metre backstroke;Silver medal;Charles Hickcox;1968 Summer Olympics
United States of America;Swimming;1968 Summer Olympics;Men's 100 metre freestyle;Silver medal;Kenneth Walsh;1968 Summer Olympics
United States of America;Athletics;1976 Summer Olympics;Men's 400 metre hurdles;Silver medal;Michael Shine;1976 Summer Olympics
United States of America;Boxing;1976 Summer Olympics;Light Welterweight;Gold medal;Sugar Ray Leonard;1976 Summer Olympics
Poland;Cycling;1968 Summer Olympics;Men's 1000m Time Trial;Bronze medal;Janusz Kierzkowski;1968 Summer Olympics
China;Table Tennis;2008 Summer Olympics;Men's Singles;Silver medal;Wang Hao;2008 Summer Olympics
Sweden;Wrestling;1948 Summer Olympics;Men's Freestyle Flyweight;Bronze medal;Thure Johansson;1948 Summer Olympics
Italy;Cycling;2004 Summer Olympics;Men's individual road race;;Cristian Moreni;2004 Summer Olympics
China;Short Track Speed Skating;2006 Winter Olympics;Women's 1000m;Bronze medal;Yang Yang;2006 Winter Olympics
United States of America;Athletics;1960 Summer Olympics;Men's 400 metre hurdles;Silver medal;Clifton Cushman;1960 Summer Olympics
Australia;Cycling;2000 Summer Olympics;Men's cross-country;;Paul Rowney;2000 Summer Olympics
Bulgaria;Judo;1980 Summer Olympics;Men's Heavyweight  (+95kg;Silver medal;Dimitar Zaprianov;1980 Summer Olympics
United Kingdom;Athletics;1908 Summer Olympics;Men's 3500 metre walk;Gold medal;George Larner;1908 Summer Olympics
Italy;Athletics;1932 Summer Olympics;Men's 1500 metres;Gold medal;Luigi Beccali;1932 Summer Olympics
Sweden;Speed Skating;1968 Winter Olympics;Men's 10000m;Gold medal;Johnny Höglin;1968 Winter Olympics
German Democratic Republic;Swimming;1980 Summer Olympics;Women's 400 metre freestyle;Gold medal;Ines Diers;1980 Summer Olympics
United States of America;Gymnastics;1904 Summer Olympics;Men's Vault;Gold medal;George Eyser;1904 Summer Olympics
Japan;Judo;1972 Summer Olympics;Men's Lightweight (63kg);Gold medal;Takao Kawaguchi;1972 Summer Olympics
Hungary;Fencing;1972 Summer Olympics;Women's Foil, Individual;Silver medal;Ildiko Bobis-Ferkasinszky;1972 Summer Olympics
France;Alpine Skiing;1984 Winter Olympics;Men's Slalom;Bronze medal;Didier Bouvet;1984 Winter Olympics
Sweden;Cross Country Skiing;1984 Winter Olympics;Men's 30km;Bronze medal;Gunde Svan;1984 Winter Olympics
United Team of Germany;Athletics;1964 Summer Olympics;Men's pole vault;Bronze medal;Klaus Lehnertz;1964 Summer Olympics
Belarus;Freestyle Skiing;1998 Winter Olympics;Men's Aerials;Bronze medal;Dmitri Dashchinski;1998 Winter Olympics
Italy;Fencing;1932 Summer Olympics;Men's Sabre, Individual;Silver medal;Giulio Gaudini;1932 Summer Olympics
Australia;Canoeing;1992 Summer Olympics;Men's K-1 1000 metres;Gold medal;Clint Robinson;1992 Summer Olympics
Japan;Judo;1984 Summer Olympics;Open Category;Gold medal;Yasuhiro Yamashita;1984 Summer Olympics
New Zealand;Sailing;1992 Summer Olympics;Women's Sailboard;Gold medal;Barbara Kendall;1992 Summer Olympics
Japan;Gymnastics;1956 Summer Olympics;Men's rings;Bronze medal;Masami Kubota;1956 Summer Olympics
Canada;Athletics;1900 Summer Olympics;Men's 2500 metre steeplechase;Gold medal;George Orton;1900 Summer Olympics
Netherlands;Speed Skating;1994 Winter Olympics;Men's 1500m;Silver medal;Rintje Ritsma;1994 Winter Olympics
Hungary;Fencing;1972 Summer Olympics;Men's Foil, Individual;Silver medal;Jenö Kamuti;1972 Summer Olympics
Belgium;Athletics;1948 Summer Olympics;Men's marathon;Bronze medal;Etienne Gailly;1948 Summer Olympics
Romania;Gymnastics;1976 Summer Olympics;Women's Floor;Bronze medal;Nadia Comaneci;1976 Summer Olympics
Iran;Wrestling;1976 Summer Olympics;Men's Freestyle Welterweight;Silver medal;Mansour Barzegar;1976 Summer Olympics
China;Weightlifting;2008 Summer Olympics;Men's Light Heavyweight 77-85 kg;Gold medal;Lu Yong;2008 Summer Olympics
Soviet Union;Athletics;1980 Summer Olympics;Men's decathlon;Silver medal;Yuri Kutsenko;1980 Summer Olympics
Switzerland;Alpine Skiing;1988 Winter Olympics;Men's Combined;Bronze medal;Paul Accola;1988 Winter Olympics
Cuba;Boxing;1980 Summer Olympics;Light Flyweight;Silver medal;Hipólito Ramos;1980 Summer Olympics
Finland;Wrestling;1920 Summer Olympics;Men's Greco-Roman Lightweight;Gold medal;Emil Väre;1920 Summer Olympics
United States of America;Golf;1900 Summer Olympics;Men's individual;Gold medal;Charles Sands;1900 Summer Olympics
United States of America;Athletics;1900 Summer Olympics;Men's pole vault;Silver medal;Meredith Colkett;1900 Summer Olympics
Norway;Alpine Skiing;1992 Winter Olympics;Men's Giant Slalom;Bronze medal;Kjetil André Aamodt;1992 Winter Olympics
United Kingdom;Canoeing;2012 Summer Olympics;Men's K-2 200 metres;Bronze medal;Jonathon Schofield;Liam Heath;2012 Summer Olympics
United States of America;Boxing;2012 Summer Olympics;Women's flyweight;Bronze medal;Marlen Esparza;2012 Summer Olympics
China;Swimming;2012 Summer Olympics;Women's 400 metre individual medley;Bronze medal;Li Xuanxu;2012 Summer Olympics
Ukraine;Boxing;2012 Summer Olympics;Men's light welterweight;Silver medal;Denys Berinchyk;2012 Summer Olympics
Australia;Cycling;2012 Summer Olympics;Women's Omnium;Bronze medal;Annette Edmondson;2012 Summer Olympics
United States of America;Swimming;2012 Summer Olympics;Men's 200 metre butterfly;Silver medal;Michael Phelps;2012 Summer Olympics
Czech Republic;Athletics;2012 Summer Olympics;Women's 400 metres hurdles;Bronze medal;Zuzana Hejnová;2012 Summer Olympics
Italy;Gymnastics;2012 Summer Olympics;Women's rhythmic group all-around;Bronze medal;Romina Laurito;Elisa Blanchi;Anzhelika Savrayuk;Andreea Stefanescu;Elisa Santoni;Marta Pagnini;2012 Summer Olympics
North Korea;Judo;2012 Summer Olympics;Women's 52 kg;Gold medal;An Kum-Ae;2012 Summer Olympics
United States of America;Swimming;2004 Summer Olympics;Men's 4 x 100 metre freestyle relay;Bronze medal;Gary Hall, Jr.;Jason Lezak;Nate Dusing;Ian Crocker;Neil Walker;Michael Phelps;Gabe Woodward;2004 Summer Olympics
Germany;Shooting;2004 Summer Olympics;Men's 10 metre running target;Gold medal;Manfred Kurzer;2004 Summer Olympics
Uzbekistan;Boxing;2000 Summer Olympics;Super Heavyweight;Bronze medal;Rustam Saidov;2000 Summer Olympics
Soviet Union;Swimming;1972 Summer Olympics;Women's 100 metre breaststroke;Silver medal;Galina Prozumenshchikova;1972 Summer Olympics
Belgium;Cycling;2004 Summer Olympics;Men's individual road race;Bronze medal;Axel Merckx;2004 Summer Olympics
China;Gymnastics;2000 Summer Olympics;Women's artistic individual all-around;Bronze medal;Liu Xuan;2000 Summer Olympics
United States of America;Swimming;2004 Summer Olympics;Men's 400 metre individual medley;Gold medal;Michael Phelps;2004 Summer Olympics
Soviet Union;Boxing;1964 Summer Olympics;Welterweight;Silver medal;Ri?ardas Tamulis;1964 Summer Olympics
Russia;Shooting;2004 Summer Olympics;Men's 25 metre rapid fire pistol;Silver medal;Sergei Poliakov;2004 Summer Olympics
Kazakhstan;Wrestling;2004 Summer Olympics;Men's Greco-Roman Lightweight;Bronze medal;Mkkhitar Manukyan;2004 Summer Olympics
United States of America;Canoeing;1984 Summer Olympics;Men's K-1 1000 metres;Bronze medal;Greg Barton;1984 Summer Olympics
Poland;Boxing;1988 Summer Olympics;Light Heavyweight;Bronze medal;Henryk Petrich;1988 Summer Olympics
Italy;Modern Pentathlon;1988 Summer Olympics;Men's Individual;Silver medal;Carlo Massullo;1988 Summer Olympics
United States of America;Athletics;2000 Summer Olympics;Men's pole vault;Silver medal;Lawrence Johnson;2000 Summer Olympics
Russia;Wrestling;2000 Summer Olympics;Men's Freestyle Featherweight;Gold medal;Mourad Oumakhanov;2000 Summer Olympics
Denmark;Badminton;2000 Summer Olympics Women's Singles;Silver medal;Camilla Martin;2000 Summer Olympics
Soviet Union;Gymnastics;1988 Summer Olympics;Men's artistic individual all-around;Bronze medal;Dmitry Bilozerchev;1988 Summer Olympics
United States of America;Boxing;1972 Summer Olympics;Light Welterweight;Gold medal;Ray P. Seales;1972 Summer Olympics
Soviet Union;Athletics;1988 Summer Olympics;Men's Pole Vault;Bronze medal;Grigoriy Yegorov;1988 Summer Olympics
Denmark;Swimming;1988 Summer Olympics;Men's 200 metre butterfly;Silver medal;Benny Nielsen;1988 Summer Olympics
Bulgaria;Wrestling;2004 Summer Olympics;Men's Greco-Roman Featherweight;Bronze medal;Armen Nazarian;2004 Summer Olympics
Spain;Canoeing;2004 Summer Olympics;Men's C-1 1000 metres;Gold medal;David Cal;2004 Summer Olympics
Soviet Union;Gymnastics;1988 Summer Olympics;Women's Balance Beam;Silver medal;Yelena Shushunova;1988 Summer Olympics
West Germany;Swimming;1984 Summer Olympics;Men's 200 metre freestyle;Bronze medal;Thomas Fahrner;1984 Summer Olympics
Philippines;Athletics;1936 Summer Olympics;Men's 400 metre hurdles;Bronze medal;Miguel White;1936 Summer Olympics
Soviet Union;Gymnastics;1968 Summer Olympics;Women's balance beam;Gold medal;Natalia Kuchinskaya;1968 Summer Olympics
Czechoslovakia;Wrestling;1928 Summer Olympics;Men's Greco-Roman Bantamweight;Silver medal;Jindrich Maudr;1928 Summer Olympics
Austria;Fencing;1936 Summer Olympics;Women's Foil, Individual;Bronze medal;Ellen Preis;1936 Summer Olympics
Japan;Judo;2004 Summer Olympics;Women's 52 kg;Silver medal;Yuki Yokosawa;2004 Summer Olympics
Germany;Modern Pentathlon ;1936 Summer Olympics;Men's Individual;Gold medal;Gotthard Handrick;1936 Summer Olympics
Luxembourg;Cycling;2004 Summer Olympics;Men's individual road race;;Kim Kirchen;2004 Summer Olympics
